name,url
Beatles in the context of Merseybeat,https://forums.stevehoffman.tv/threads/beatles-in-the-context-of-merseybeat.1217449/
The Beatles' Abbey Road on Vinyl,https://forums.stevehoffman.tv/threads/the-beatles-abbey-road-on-vinyl.1217755/
"Weakest Link: Beatles ""Beatles for Sale"" Final Round",https://forums.stevehoffman.tv/threads/weakest-link-beatles-beatles-for-sale-final-round.1216224/
"Weakest Link: Beatles ""Beatles for Sale"" Round Six",https://forums.stevehoffman.tv/threads/weakest-link-beatles-beatles-for-sale-round-six.1216158/
"Weakest Link: Beatles ""Beatles for Sale"" Round Five",https://forums.stevehoffman.tv/threads/weakest-link-beatles-beatles-for-sale-round-five.1216081/
Beatles 1971 Vs Beatles 1973,https://forums.stevehoffman.tv/threads/beatles-1971-vs-beatles-1973.1215325/
"Weakest Link: Beatles ""Beatles for Sale"" Round Four",https://forums.stevehoffman.tv/threads/weakest-link-beatles-beatles-for-sale-round-four.1216017/
"Weakest Link: Beatles ""Beatles for Sale"" Round Three",https://forums.stevehoffman.tv/threads/weakest-link-beatles-beatles-for-sale-round-three.1215974/
"Weakest Link: Beatles ""Beatles for Sale"" Round Two",https://forums.stevehoffman.tv/threads/weakest-link-beatles-beatles-for-sale-round-two.1215915/
"Weakest Link: Beatles ""Beatles for Sale"" Round One",https://forums.stevehoffman.tv/threads/weakest-link-beatles-beatles-for-sale-round-one.1215850/
My first Beatles album,https://forums.stevehoffman.tv/threads/my-first-beatles-album.1216867/
The Beatles - If I Fell,https://forums.stevehoffman.tv/threads/the-beatles-if-i-fell.1215918/
The Beatles Rubber Soul MFSL Vinyl (1984),https://forums.stevehoffman.tv/threads/the-beatles-rubber-soul-mfsl-vinyl-1984.1217907/
George Martin: Father of the Mono Revival?,https://forums.stevehoffman.tv/threads/george-martin-father-of-the-mono-revival.1217595/
The Beatles Live at the BBC volumes 1 and 2 question…,https://forums.stevehoffman.tv/threads/the-beatles-live-at-the-bbc-volumes-1-and-2-question.1218161/
And I Love Her - The Beatles.,https://forums.stevehoffman.tv/threads/and-i-love-her-the-beatles.1216013/
What did the Beatles think of covers of their songs?,https://forums.stevehoffman.tv/threads/what-did-the-beatles-think-of-covers-of-their-songs.1217315/
"Incredible, about bass line in song Rain by Beatles",https://forums.stevehoffman.tv/threads/incredible-about-bass-line-in-song-rain-by-beatles.1217934/
Did The Beatles learn any new covers after the clubs?,https://forums.stevehoffman.tv/threads/did-the-beatles-learn-any-new-covers-after-the-clubs.1218330/
Rare DECCA Beatles White Album on Apple...Any info?,https://forums.stevehoffman.tv/threads/rare-decca-beatles-white-album-on-apple-any-info.1218195/
Beatles songs where Paul and John's harmony roles are reversed,https://forums.stevehoffman.tv/threads/beatles-songs-where-paul-and-johns-harmony-roles-are-reversed.1218141/
The film Yellow Submarine using the Beatles real voices AI,https://forums.stevehoffman.tv/threads/the-film-yellow-submarine-using-the-beatles-real-voices-ai.1217927/
Did Pink Floyd beat the Beatles to it (in this case)? :-),https://forums.stevehoffman.tv/threads/did-pink-floyd-beat-the-beatles-to-it-in-this-case.1216765/
What if Meet the Beatles and Introducing the Beatles had been the same,https://forums.stevehoffman.tv/threads/what-if-meet-the-beatles-and-introducing-the-beatles-had-been-the-same.1214589/
Any reason to ever play the Beatles multi's & master tapes again?,https://forums.stevehoffman.tv/threads/any-reason-to-ever-play-the-beatles-multis-master-tapes-again.1218267/
Favorite Five Beatles' Published Content,https://forums.stevehoffman.tv/threads/favorite-five-beatles-published-content.1215823/
Please Please Me Early Pressing Identification,https://forums.stevehoffman.tv/threads/please-please-me-early-pressing-identification.1217020/
POLL: Pick 9 Beatles LPs/CDs from the core catalog,https://forums.stevehoffman.tv/threads/poll-pick-9-beatles-lps-cds-from-the-core-catalog.1218228/
"SPECIFICALLY:  The Beatles new mono version of ""Meet The Beatles""",https://forums.stevehoffman.tv/threads/specifically-the-beatles-new-mono-version-of-meet-the-beatles.1214019/
Best Beatles remixes,https://forums.stevehoffman.tv/threads/best-beatles-remixes.1214311/
Most eclectic album side by the Beatles,https://forums.stevehoffman.tv/threads/most-eclectic-album-side-by-the-beatles.1215701/
Beatles Mono: were the mono singles the versions that charted?,https://forums.stevehoffman.tv/threads/beatles-mono-were-the-mono-singles-the-versions-that-charted.1216845/
Beatles-What's The New Mary Jane. Discuss.,https://forums.stevehoffman.tv/threads/beatles-whats-the-new-mary-jane-discuss.1216165/
"Yesterday and Today, Beatles podcast- excellent Time magazine episode",https://forums.stevehoffman.tv/threads/yesterday-and-today-beatles-podcast-excellent-time-magazine-episode.1217373/
Beatle Books,https://forums.stevehoffman.tv/threads/beatle-books.1213382/
"John, Paul, George & Ringo : Their Best Individual Beatles Song",https://forums.stevehoffman.tv/threads/john-paul-george-ringo-their-best-individual-beatles-song.1217222/
Songs that mention the Beatles,https://forums.stevehoffman.tv/posts/35650637/
"Beatles- I Am The Walrus ""King Lear' clean recording",https://forums.stevehoffman.tv/threads/beatles-i-am-the-walrus-king-lear-clean-recording.1216586/
"Regardless of some overlap, I still think Abbey Road is the last Beatles album",https://forums.stevehoffman.tv/threads/regardless-of-some-overlap-i-still-think-abbey-road-is-the-last-beatles-album.1218170/
Beatles Red and/or Blue: best sounding vinyl,https://forums.stevehoffman.tv/threads/beatles-red-and-or-blue-best-sounding-vinyl.1215296/
Ringo The Cowboy Starr - his complete 50 Country Songs within and without The Beatles,https://forums.stevehoffman.tv/threads/ringo-the-cowboy-starr-his-complete-50-country-songs-within-and-without-the-beatles.1217808/
"Rank the covers performed by The Beatles, and would you buy a compilation?",https://forums.stevehoffman.tv/threads/rank-the-covers-performed-by-the-beatles-and-would-you-buy-a-compilation.1216171/
Your 10 favorite George Harrison Songs. Solo or in Beatles and Wilburys.,https://forums.stevehoffman.tv/threads/your-10-favorite-george-harrison-songs-solo-or-in-beatles-and-wilburys.1216517/
Oasis singer slams the Beatles in explosive rant,https://forums.stevehoffman.tv/threads/oasis-singer-slams-the-beatles-in-explosive-rant.1214620/
'Beatles For Sale' - A Sixty Year Anniversary Homage,https://forums.stevehoffman.tv/threads/beatles-for-sale-a-sixty-year-anniversary-homage.1214592/
What Beatles songs  were Dexterized ?,https://forums.stevehoffman.tv/threads/what-beatles-songs-were-dexterized.1213887/
The Bee Gees singing 30 Beatles songs,https://forums.stevehoffman.tv/threads/the-bee-gees-singing-30-beatles-songs.1214570/
The Beatles revolver remix,https://forums.stevehoffman.tv/threads/the-beatles-revolver-remix.1212636/
BEATLES 1964 documentary,https://forums.stevehoffman.tv/threads/beatles-1964-documentary.1212580/
Homemade Beatles remixes are all over YouTube,https://forums.stevehoffman.tv/threads/homemade-beatles-remixes-are-all-over-youtube.1214433/
Which Beatles studio song has the most official variations?,https://forums.stevehoffman.tv/threads/which-beatles-studio-song-has-the-most-official-variations.1215452/
Julian Lennon: ‘I’m not part of the Beatles inner circle – I never have been’,https://forums.stevehoffman.tv/threads/julian-lennon-im-not-part-of-the-beatles-inner-circle-i-never-have-been.1216790/
Which Beatle most needed his ex-bandmates to help craft their songs to perfection?,https://forums.stevehoffman.tv/threads/which-beatle-most-needed-his-ex-bandmates-to-help-craft-their-songs-to-perfection.1216656/
The Beatles' retiring from live performance - when did fans know?,https://forums.stevehoffman.tv/threads/the-beatles-retiring-from-live-performance-when-did-fans-know.1215744/
What would be the perfect 35-45 song setlist for The Beatles?,https://forums.stevehoffman.tv/threads/what-would-be-the-perfect-35-45-song-setlist-for-the-beatles.1215187/
"""I Am the Walrus"" - Beatles Cartoon",https://forums.stevehoffman.tv/threads/i-am-the-walrus-beatles-cartoon.1213243/
Beatles US Mono Box 2024 Pressing issues,https://forums.stevehoffman.tv/threads/beatles-us-mono-box-2024-pressing-issues.1214323/
Hand Made Beatles Rooftop,https://forums.stevehoffman.tv/threads/hand-made-beatles-rooftop.1212600/
"Help with Beatles record (Parlophone -- I Want to Hold Your Hand & Please, Please Me) *",https://forums.stevehoffman.tv/threads/help-with-beatles-record-parlophone-i-want-to-hold-your-hand-please-please-me.1216703/
"Comparing ""most acclaimed"" and ""most streamed"" Beatles songs",https://forums.stevehoffman.tv/threads/comparing-most-acclaimed-and-most-streamed-beatles-songs.1214179/
BEATLES U.S. Albums box worth getting ?,https://forums.stevehoffman.tv/threads/beatles-u-s-albums-box-worth-getting.1213615/
1973: The best year for solo Beatles fans?,https://forums.stevehoffman.tv/threads/1973-the-best-year-for-solo-beatles-fans.1213550/
POLL: Favorite side of the Beatles' Red & Blue Albums,https://forums.stevehoffman.tv/threads/poll-favorite-side-of-the-beatles-red-blue-albums.1214099/
"""Getting Better"" riff question",https://forums.stevehoffman.tv/threads/getting-better-riff-question.1212982/
Would there be an interest in a The Beatles Song- By-Song thread?,https://forums.stevehoffman.tv/threads/would-there-be-an-interest-in-a-the-beatles-song-by-song-thread.1213384/
"SQ preferences between 1987/1988 and 2009 Beatle ""Past Masters"" CDs",https://forums.stevehoffman.tv/threads/sq-preferences-between-1987-1988-and-2009-beatle-past-masters-cds.1215401/
Beatles TG12345 Refurbish Video,https://forums.stevehoffman.tv/threads/beatles-tg12345-refurbish-video.1211979/
Beatles EMI TG12345 refurbished,https://forums.stevehoffman.tv/threads/beatles-emi-tg12345-refurbished.1211975/
Beatles Blue Album - best CD remix/remaster?,https://forums.stevehoffman.tv/threads/beatles-blue-album-best-cd-remix-remaster.1213618/
"Beatles ""The Word"" mix differences---1987 remix vs original",https://forums.stevehoffman.tv/threads/beatles-the-word-mix-differences-1987-remix-vs-original.1214118/
"""Periods"" of the Beatles' discography?",https://forums.stevehoffman.tv/threads/periods-of-the-beatles-discography.1211217/
The Beatles' Rubber Soul UK Edition. Opinions.,https://forums.stevehoffman.tv/threads/the-beatles-rubber-soul-uk-edition-opinions.1212965/
What if Bob Dylan never had his motorcycle accident?,https://forums.stevehoffman.tv/posts/36010113/
"Current Paul McCartney news thread (interviews, articles, miscellaneous)",https://forums.stevehoffman.tv/posts/36070598/
"Beatles, 60 years ago today: I Feel Fine",https://forums.stevehoffman.tv/threads/beatles-60-years-ago-today-i-feel-fine.1213896/
Was the album cover of the Beatles‘ „Love Songs“ inspired by the Carpenters‘ „Singles 1969-73“?,https://forums.stevehoffman.tv/threads/was-the-album-cover-of-the-beatles-love-songs-inspired-by-the-carpenters-singles-1969-73.1214949/
The Beatles: Which version of the song “Let it Be” do you prefer?,https://forums.stevehoffman.tv/threads/the-beatles-which-version-of-the-song-let-it-be-do-you-prefer.1213904/
Beatles '64 doc streams starting Nov. 29,https://forums.stevehoffman.tv/threads/beatles-64-doc-streams-starting-nov-29.1213320/
Paul McCartney’s most Beatles sounding album ?,https://forums.stevehoffman.tv/posts/36054955/
Beatles Upcoming Releases: group or solo,https://forums.stevehoffman.tv/posts/36057828/
Your favorite Ringo-sung Beatles songs,https://forums.stevehoffman.tv/threads/your-favorite-ringo-sung-beatles-songs.1212762/
The Beatles | Which Mixes on Japanese Singles?,https://forums.stevehoffman.tv/threads/the-beatles-which-mixes-on-japanese-singles.1212195/
Anyone been to this Tribute to The Beatles show and is it good?*,https://forums.stevehoffman.tv/threads/anyone-been-to-this-tribute-to-the-beatles-show-and-is-it-good.1212697/
Tears for Fears Top 40 Countdown (please avoid predictions/spoilers/speculation),https://forums.stevehoffman.tv/posts/36015275/
The 3 „Beatles Anthology“ albums are fantastic!,https://forums.stevehoffman.tv/threads/the-3-beatles-anthology-albums-are-fantastic.1212117/
Records used as packing material for records you bought!,https://forums.stevehoffman.tv/posts/36002169/
When the first original version of a popular song is the best ......,https://forums.stevehoffman.tv/posts/36058352/
"""Milwaukee Meets The Beatles"" article about September 4th, 1964 concert + footage",https://forums.stevehoffman.tv/threads/milwaukee-meets-the-beatles-article-about-september-4th-1964-concert-footage.1214641/
What have been the most popular artists across the various decades?,https://forums.stevehoffman.tv/posts/36060922/
"1964 albums, top however many you want",https://forums.stevehoffman.tv/posts/36073814/
I want to record Bruce Springsteen‘s „Live/1975-85“ on 3 tapes: What would you put on side 6?,https://forums.stevehoffman.tv/posts/36065618/
Favourite artist at age 15 who is still your favourite 40+ years later,https://forums.stevehoffman.tv/posts/35938723/
"The Beatles - Magical Mystery Tour, LP Matrix identification",https://forums.stevehoffman.tv/threads/the-beatles-magical-mystery-tour-lp-matrix-identification.1212955/
Unofficial Beatles EP makes the official charts in the UK,https://forums.stevehoffman.tv/threads/unofficial-beatles-ep-makes-the-official-charts-in-the-uk.1212979/
Songs that start with an instruction or command,https://forums.stevehoffman.tv/posts/36043033/
Best first songs on debut albums,https://forums.stevehoffman.tv/posts/35986324/
"Revolver Stereo Mix, 1987 vs 2009",https://forums.stevehoffman.tv/posts/36038507/
Problem when playing Now and Then by The Beatles,https://forums.stevehoffman.tv/threads/problem-when-playing-now-and-then-by-the-beatles.1211839/
"The Beatles Remixes, the Good, the Bad & the Ugly",https://forums.stevehoffman.tv/posts/35994685/
Ringo Starr “Look Up” Jan 2025,https://forums.stevehoffman.tv/posts/35964733/
Ticket to Ride - distortion,https://forums.stevehoffman.tv/threads/ticket-to-ride-distortion.1211109/
Which version/remix of The Beatles album on vinyl?,https://forums.stevehoffman.tv/threads/which-version-remix-of-the-beatles-album-on-vinyl.1212267/
Which beatles albums are better in mono and which ones in stereo,https://forums.stevehoffman.tv/posts/36062855/
Covers Of Every Beatles Song,https://forums.stevehoffman.tv/posts/36025259/
Songs you love despite lyrics you don't really understand...,https://forums.stevehoffman.tv/posts/36047835/
1965 was 60 years ago...,https://forums.stevehoffman.tv/posts/35987828/
What band's most popular song do you actually believe is their best work?,https://forums.stevehoffman.tv/posts/35964861/
The Beatles In Mono CD Box Set - Another Counterfeit Version In Circulation?,https://forums.stevehoffman.tv/threads/the-beatles-in-mono-cd-box-set-another-counterfeit-version-in-circulation.1213609/
What's the most unique and weirdest band merch you've seen?,https://forums.stevehoffman.tv/posts/36059893/
Here's Robert Pollard's ballot for the ‘Rolling Stone’ Greatest Albums list,https://forums.stevehoffman.tv/posts/36053238/
Thoughts on Beatles 2009 Remasters?,https://forums.stevehoffman.tv/posts/35994915/
What music would you like to be played at your funeral?,https://forums.stevehoffman.tv/posts/36030651/
Your music anti depressive,https://forums.stevehoffman.tv/posts/35987450/
"Beatles White Album, What Pressing?",https://forums.stevehoffman.tv/posts/35954025/
My “Beatles Ultimate Psychedelic Era” comp and appreciation thread,https://forums.stevehoffman.tv/threads/my-beatles-ultimate-psychedelic-era-comp-and-appreciation-thread.1213037/
Childhood Albums...,https://forums.stevehoffman.tv/posts/35986745/
It's A 'Classic' Album But I Ain't Heard It,https://forums.stevehoffman.tv/posts/36017372/
Songs about “the one who got away”,https://forums.stevehoffman.tv/posts/35992753/
A Collection of Beatles Oldies ... But Goldies!,https://forums.stevehoffman.tv/posts/35998800/
Beatles 1962-66 & 1967-70 & Now And Then - Pricing And Shipping Thread,https://forums.stevehoffman.tv/posts/35936416/
True Artistic Failure,https://forums.stevehoffman.tv/posts/36020190/
Norwegian favorites,https://forums.stevehoffman.tv/posts/36009158/
Next Capitol Beatles Mono US albums Part 2....We Want IT!,https://forums.stevehoffman.tv/threads/next-capitol-beatles-mono-us-albums-part-2-we-want-it.1213854/
2024 Relaunch of The Beatles' Capitol Albums on LP*,https://forums.stevehoffman.tv/posts/35893315/
If you could recover one lost/destroyed recording…,https://forums.stevehoffman.tv/posts/36015707/
The Beatles in Munich - 1966,https://forums.stevehoffman.tv/threads/the-beatles-in-munich-1966.1210147/
Paul McCartney new album 2025,https://forums.stevehoffman.tv/posts/36035831/
A favorite artist covering a favorite artist.,https://forums.stevehoffman.tv/posts/36032432/
Simply Bob...DYLAN.  Music and conversation.,https://forums.stevehoffman.tv/posts/36052238/
What is your favorite rock song or songs that feature both a drum and guitar solo,https://forums.stevehoffman.tv/posts/36019909/
Hit songs where the drums mostly drop out during the chorus:,https://forums.stevehoffman.tv/posts/36028886/
Songs Reimagined by the Original Artist,https://forums.stevehoffman.tv/posts/35973850/
Your top 10 favourite BRITISH albums of all times,https://forums.stevehoffman.tv/posts/36035856/
Top 10 albums: 1967,https://forums.stevehoffman.tv/posts/36073827/
"Happy, upbeat songs about...MURDER!",https://forums.stevehoffman.tv/posts/35988439/
P.S. Love Me Do - just heard it for the first time today,https://forums.stevehoffman.tv/posts/35977501/
Threads that barely warrant being a comment,https://forums.stevehoffman.tv/posts/35917985/
In Praise of Paul McCartney's London Town,https://forums.stevehoffman.tv/posts/36043148/
Did Genesis spawn the most successful solo careers?,https://forums.stevehoffman.tv/posts/35958835/
Japanese original pressings compared to reissues?,https://forums.stevehoffman.tv/posts/35992245/
Bands with the best harmonies that aren't The Beach Boys or The Beatles,https://forums.stevehoffman.tv/threads/bands-with-the-best-harmonies-that-arent-the-beach-boys-or-the-beatles.1212264/
Question about today's KLOS episode of Breakfast with the Beatles,https://forums.stevehoffman.tv/threads/question-about-todays-klos-episode-of-breakfast-with-the-beatles.1212290/
"Jethro Tull, new album: Curious Ruminant",https://forums.stevehoffman.tv/posts/35980837/
Artists with consistently great album cover designs,https://forums.stevehoffman.tv/posts/35943395/
Elvis at 90,https://forums.stevehoffman.tv/posts/36015344/
Made a list of all of the Beatles’ popular songs from each album. Did I get them all or not?,https://forums.stevehoffman.tv/threads/made-a-list-of-all-of-the-beatles-popular-songs-from-each-album-did-i-get-them-all-or-not.1215255/
The state of the Loudness War in 2023,https://forums.stevehoffman.tv/posts/36012611/
Should more groups and artists go the EP route instead of or in conjunction with albums,https://forums.stevehoffman.tv/posts/36059514/
Top 10 albums: 1968,https://forums.stevehoffman.tv/posts/35915486/
The “fame freakout” album: records (allegedly) designed to downscale a band's fame,https://forums.stevehoffman.tv/posts/35965090/
Please show off your The Beatles collection!,https://forums.stevehoffman.tv/threads/please-show-off-your-the-beatles-collection.1211566/
Artists who where already wealthy before finding fame & fortune.,https://forums.stevehoffman.tv/posts/36012796/
How common is this White Album error?,https://forums.stevehoffman.tv/posts/35990983/
"Bob Dylan ""The Bootleg Series"" – overview and possible future projects",https://forums.stevehoffman.tv/posts/35989053/
Lucinda Williams - Sings The Beatles From Abbey Road - 12 - 6 - 2024,https://forums.stevehoffman.tv/posts/35889317/
No One is Allowed to Interrupt You When What Song is Playing?,https://forums.stevehoffman.tv/posts/35854253/
The case for the music of 1968,https://forums.stevehoffman.tv/posts/36027332/
Cover Versions of Folk Songs,https://forums.stevehoffman.tv/posts/35946923/
McCartney Legacy - Forthcoming series of reference books *,https://forums.stevehoffman.tv/posts/35985567/
Why the „Rubber Soul“ hype during the 70s?,https://forums.stevehoffman.tv/posts/35912084/
Songs with a bad/terrible fade out,https://forums.stevehoffman.tv/posts/36042533/
What are some records you are looking forward to in 2025?,https://forums.stevehoffman.tv/posts/36027446/
Songs that have aged like fine Wine ......,https://forums.stevehoffman.tv/posts/36020889/
Completeness: How Many Bands Do You Have The Whole Catalog?,https://forums.stevehoffman.tv/posts/35948823/
Let's make a case for 1973,https://forums.stevehoffman.tv/posts/36034395/
Zombies Odessey and Oracle- Best Pressing?,https://forums.stevehoffman.tv/posts/36071689/
Audiohaze (Youtuber) recreates Beatles Apple rooftop concert,https://forums.stevehoffman.tv/threads/audiohaze-youtuber-recreates-beatles-apple-rooftop-concert.1211969/
"The Beatles’ Now and Then, post premiere thoughts thread!",https://forums.stevehoffman.tv/posts/35814074/
Unusual Concept Albums,https://forums.stevehoffman.tv/posts/36070405/
"Kevin Gray re One Steps:  ""It's a Degradation, not an Improvement""",https://forums.stevehoffman.tv/posts/36067239/
Paul McCartney Archive Collection - 'Forthcoming Releases' [2019+],https://forums.stevehoffman.tv/posts/35977377/
The Beatles - Revolver  - 2022 Remix,https://forums.stevehoffman.tv/posts/35932448/
The Beatles Liveshow - Germen (TV4 1991-12-06),https://forums.stevehoffman.tv/threads/the-beatles-liveshow-germen-tv4-1991-12-06.1211935/
Albums that became successful a few years after the release?,https://forums.stevehoffman.tv/posts/36030166/
'Magical Mystery Tour' Hits Billboard Number One January 6 1968,https://forums.stevehoffman.tv/posts/35967558/
How Long is The Beatles Entire Discography? (Singles do not count),https://forums.stevehoffman.tv/threads/how-long-is-the-beatles-entire-discography-singles-do-not-count.1212336/
"Frank Sinatra is here, there and everywhere... (All Things Sinatra)",https://forums.stevehoffman.tv/posts/35937449/
What artist's releases do you own the most physical copies of?,https://forums.stevehoffman.tv/posts/35902772/
2019 Beatles singles box set question,https://forums.stevehoffman.tv/threads/2019-beatles-singles-box-set-question.1211309/
"Recording of ""The Beatles at The Hollywood Bowl""",https://forums.stevehoffman.tv/threads/recording-of-the-beatles-at-the-hollywood-bowl.1208272/
Two very different artists next to each other in your collection.,https://forums.stevehoffman.tv/posts/35989947/
"Weakest Link: Led Zeppelin ""Physical Graffiti"" Round 6",https://forums.stevehoffman.tv/posts/36063286/
Beatles Dutch Pressings,https://forums.stevehoffman.tv/posts/36071005/
Your Top 5 albums: 1965,https://forums.stevehoffman.tv/posts/35885797/
How relevant is The Beatles CD Mono Box today?,https://forums.stevehoffman.tv/posts/35928522/
Beatles German Pressings - Need Help!,https://forums.stevehoffman.tv/posts/35938187/
The Beatles on cassette,https://forums.stevehoffman.tv/posts/35959463/
"Famous in the U.K., Obscure in the U.S. vs. Famous in the U.S., Obscure in the U.K.",https://forums.stevehoffman.tv/posts/36034634/
Top 5 albums: 1966,https://forums.stevehoffman.tv/posts/36073893/
Anyone else want remixes of Free as a Bird and Real Love?,https://forums.stevehoffman.tv/posts/36062277/
What is the best needledrop that you've ever heard?,https://forums.stevehoffman.tv/posts/36042830/
"Favorite ""wooo"" in a song lyric",https://forums.stevehoffman.tv/posts/36070778/
In praise of the early Beatles,https://forums.stevehoffman.tv/posts/35950429/
Rock n' Horns--favorite bands with killer horns sections,https://forums.stevehoffman.tv/posts/35997563/
IRON MAIDEN - TOP 40 Countdown,https://forums.stevehoffman.tv/posts/36060449/
Buy / download Beatles Revolver on Atmos?,https://forums.stevehoffman.tv/threads/buy-download-beatles-revolver-on-atmos.1210642/
Ringo's Favourite And Least Liked Beatles Albums,https://forums.stevehoffman.tv/threads/ringos-favourite-and-least-liked-beatles-albums.1211120/
Thoughts on Beatles Tribute Bands?,https://forums.stevehoffman.tv/posts/35877578/
Introducing the Beatles Stereo version 1 misprint,https://forums.stevehoffman.tv/threads/introducing-the-beatles-stereo-version-1-misprint.1211138/
Counterfeit Vinyl,https://forums.stevehoffman.tv/posts/35896018/
Songs with laughter,https://forums.stevehoffman.tv/posts/36064918/
Oasis and the Beatles,https://forums.stevehoffman.tv/threads/oasis-and-the-beatles.1208519/
Best Vinyl Stereo Pressing of Beatles Hard Day's Night 2023,https://forums.stevehoffman.tv/posts/36046769/
"Capitol 45, And I Love Her/If I Fell",https://forums.stevehoffman.tv/posts/36027616/
Hit songs that did NOT stand the test of time,https://forums.stevehoffman.tv/posts/35905725/
Beatles Yesterday and Today sealed stereo,https://forums.stevehoffman.tv/threads/beatles-yesterday-and-today-sealed-stereo.1210582/
"Artists that, in your opinion, have just 2 standout albums...",https://forums.stevehoffman.tv/posts/35806244/
Let's pick an album and rank the songs from best to worst,https://forums.stevehoffman.tv/posts/35945746/
Is Supertramp A Progressive Rock Band?,https://forums.stevehoffman.tv/posts/35833752/
Beatles - UK revolver -2/-2 but etched,https://forums.stevehoffman.tv/threads/beatles-uk-revolver-2-2-but-etched.1211073/
Upcoming Auction: The legendary Beatles' Abbey Road recording console,https://forums.stevehoffman.tv/threads/upcoming-auction-the-legendary-beatles-abbey-road-recording-console.1212018/
Do you stream an album before buying the LP/CD?,https://forums.stevehoffman.tv/posts/35930037/
did rock music fanbase change at some point in the 60s?,https://forums.stevehoffman.tv/posts/35818376/
With the Sun in My Eyes: Brothers Gibb (Bee Gees/Andy Gibb) Song-by song thread,https://forums.stevehoffman.tv/posts/35948889/
Upcoming Zappa Release: Cheaper Than Cheep,https://forums.stevehoffman.tv/posts/36004163/
The ongoing popularity of Creedence Clearwater Revival,https://forums.stevehoffman.tv/posts/35893774/
John's 'Double Fantasy' Songs,https://forums.stevehoffman.tv/posts/36050884/
Classic rock concerts shot on film,https://forums.stevehoffman.tv/posts/35901746/
Top 3 Songs Referencing Animals?,https://forums.stevehoffman.tv/posts/35791977/
The U.K. 70s Singles & Albums Chart General Discussion Thread.,https://forums.stevehoffman.tv/posts/35997713/
"New Books ""The Beatles after The Beatles 1967-80"" (Part 1: The Narrative - Part 2: The Discography)",https://forums.stevehoffman.tv/threads/new-books-the-beatles-after-the-beatles-1967-80-part-1-the-narrative-part-2-the-discography.1210755/
Which artist or band comes to mind when you think of exceptional production?,https://forums.stevehoffman.tv/posts/36019715/
Insults And Flattery: Elvis Costello Song-By-Song Thread,https://forums.stevehoffman.tv/posts/35928798/
Two separate albums that should've been a double,https://forums.stevehoffman.tv/posts/35813424/
Album Covers that are an homage to an earlier album cover,https://forums.stevehoffman.tv/posts/35990083/
Favourite vinyl version/pressing of Abbey Road?,https://forums.stevehoffman.tv/posts/35994261/
"Mal Evans’ Archives (biography, diaries, etc.) in 2023",https://forums.stevehoffman.tv/posts/35907485/
My Top *11* Favorite American Bands,https://forums.stevehoffman.tv/posts/35947395/
Are the Beatles' original mixes REALLY going out of print?! ...,https://forums.stevehoffman.tv/posts/35954344/
Ever been at a Concert that was Recorded and Released?,https://forums.stevehoffman.tv/posts/36010253/
"Jethro Tull ""A Passion Play"" thoughts",https://forums.stevehoffman.tv/posts/36024115/
Bruce Springsteen working on Tracks 2?,https://forums.stevehoffman.tv/posts/36069388/
Elton John Song-By-Song Thread,https://forums.stevehoffman.tv/posts/35989974/
I have a question about the band Oasis .....,https://forums.stevehoffman.tv/posts/35952268/
the big 4 of post punk?,https://forums.stevehoffman.tv/posts/35828836/
A song that got you through the darkest times?,https://forums.stevehoffman.tv/posts/35881534/
Songs played backwards,https://forums.stevehoffman.tv/posts/35920056/
Threetles photos post Clapton's 1979 wedding and pre-1994 Anthology sessions ?,https://forums.stevehoffman.tv/posts/35983896/
Complete new Beatles LP box release ?,https://forums.stevehoffman.tv/threads/complete-new-beatles-lp-box-release.1210887/
Digital Collectors: Shuffle Your iTunes Collection and List the First 10,https://forums.stevehoffman.tv/posts/35970177/
Badfinger...anyone listening lately?,https://forums.stevehoffman.tv/posts/36041685/
1975 was fifty years ago,https://forums.stevehoffman.tv/posts/35904813/
Songs about coffee,https://forums.stevehoffman.tv/posts/35944315/
Is anyone waking up to some wonderful musical gifts this morning?,https://forums.stevehoffman.tv/posts/35869212/
"Is it a consensus, 4 is not enough, how about the Big 10?",https://forums.stevehoffman.tv/posts/35867263/
